"C1"	"C2"	"C3"	"IR1"	"IR2"	"IR3"
"ENSG00000000419"	0	0	0	0	0	1
"ENSG00000001036"	0	1	0	0	0	0
"ENSG00000001084"	0	0	0	0	0	1
"ENSG00000001460"	0	0	1	0	0	0
"ENSG00000001631"	0	0	1	0	0	0
"ENSG00000002586"	1	0	0	2	1	0
"ENSG00000002726"	0	0	0	0	0	1
"ENSG00000002834"	1	1	0	0	0	1
"ENSG00000002933"	0	0	0	0	1	0
"ENSG00000003056"	0	0	1	0	1	0
"ENSG00000003402"	2	1	2	0	0	1
"ENSG00000003756"	0	0	1	0	0	0
"ENSG00000004059"	0	0	0	0	0	2
"ENSG00000004455"	0	0	0	0	1	0
"ENSG00000004468"	0	0	0	1	0	0
"ENSG00000004478"	0	0	0	1	0	1
"ENSG00000004487"	0	0	0	0	0	1
"ENSG00000004779"	0	1	2	0	0	1
"ENSG00000004975"	0	1	0	0	0	0
"ENSG00000005007"	0	1	1	1	1	0
"ENSG00000005022"	0	0	1	0	1	0
"ENSG00000005059"	0	0	1	0	0	0
"ENSG00000005175"	0	0	0	1	0	0
"ENSG00000005206"	0	1	0	1	0	0
"ENSG00000005302"	0	1	0	0	0	0
"ENSG00000005448"	0	0	1	0	0	0
"ENSG00000005486"	0	0	0	0	1	1
"ENSG00000005812"	0	0	1	0	0	0
"ENSG00000005844"	0	1	0	0	0	1
"ENSG00000005882"	0	0	1	0	0	0
"ENSG00000005893"	0	0	0	1	0	0
"ENSG00000006007"	0	0	0	0	1	0
"ENSG00000006015"	1	0	0	0	1	1
"ENSG00000006194"	0	0	0	0	1	0
"ENSG00000006282"	0	0	0	0	1	0
"ENSG00000006327"	1	0	0	0	0	0
"ENSG00000006451"	0	0	0	0	1	1
"ENSG00000006534"	0	0	0	0	1	0
"ENSG00000006625"	0	0	0	0	0	2
"ENSG00000006634"	0	0	0	0	0	1
"ENSG00000006756"	0	0	0	1	0	0
"ENSG00000006757"	0	1	0	0	0	0
"ENSG00000006831"	0	0	0	0	0	1
"ENSG00000007080"	0	0	0	1	0	0
"ENSG00000007168"	0	1	0	0	0	0
"ENSG00000007202"	0	0	1	0	0	0
"ENSG00000007237"	0	0	0	1	0	0
"ENSG00000007264"	0	0	0	1	0	1
"ENSG00000007312"	0	0	0	0	1	0
"ENSG00000007520"	0	1	0	0	0	2
"ENSG00000008018"	1	1	2	0	0	0
